"No.","Time","Source","Destination","MAC src","Protocol","Length","MAC dst","Info"
"84","0.061515216","10.10.0.1","10.10.0.10","2a:89:5b:62:44:f2","TCP","74","a2:19:52:a1:10:1a","3128  >  43034 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3185433822 TSecr=3865731897 WS=128"
"85","0.061735967","10.10.0.10","10.10.0.1","a2:19:52:a1:10:1a","TCP","66","2a:89:5b:62:44:f2","43034  >  3128 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3865731897 TSecr=3185433822"
"86","0.062164846","10.10.0.10","10.10.0.1","a2:19:52:a1:10:1a","HTTP","369","2a:89:5b:62:44:f2","GET http://datos.tpfinal-tyr.com/cgi-bin/datos.pl HTTP/1.0 "
"87","0.062253851","10.10.0.1","10.10.0.10","2a:89:5b:62:44:f2","TCP","66","a2:19:52:a1:10:1a","3128  >  43034 [ACK] Seq=1 Ack=304 Win=64896 Len=0 TSval=3185433822 TSecr=3865731897"
"88","0.062885738","10.10.0.1","12.12.0.12","2a:89:5b:62:44:f2","TCP","74","b6:0c:f9:58:64:27","60720  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2356592158 TSecr=0 WS=128"
"89","0.063123901","12.12.0.12","10.10.0.1","b6:0c:f9:58:64:27","TCP","74","2a:89:5b:62:44:f2","80  >  60720 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3927819000 TSecr=2356592158 WS=128"
"90","0.063396369","10.10.0.1","12.12.0.12","2a:89:5b:62:44:f2","TCP","66","b6:0c:f9:58:64:27","60720  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2356592158 TSecr=3927819000"
"91","0.069530820","10.10.0.1","12.12.0.12","2a:89:5b:62:44:f2","HTTP","464","b6:0c:f9:58:64:27","GET /cgi-bin/datos.pl HTTP/1.1 "
"92","0.069634383","12.12.0.12","10.10.0.1","b6:0c:f9:58:64:27","TCP","66","2a:89:5b:62:44:f2","80  >  60720 [ACK] Seq=1 Ack=399 Win=64768 Len=0 TSval=3927819001 TSecr=2356592159"
"93","0.071059036","12.12.0.12","10.10.0.1","b6:0c:f9:58:64:27","HTTP","453","2a:89:5b:62:44:f2","HTTP/1.1 200 OK  (text/html)"
"94","0.071336663","10.10.0.1","12.12.0.12","2a:89:5b:62:44:f2","TCP","66","b6:0c:f9:58:64:27","60720  >  80 [ACK] Seq=399 Ack=388 Win=64128 Len=0 TSval=2356592166 TSecr=3927819008"
"95","0.071600955","10.10.0.1","12.12.0.12","2a:89:5b:62:44:f2","TCP","66","b6:0c:f9:58:64:27","60720  >  80 [FIN, ACK] Seq=399 Ack=388 Win=64128 Len=0 TSval=2356592166 TSecr=3927819008"
"96","0.078825747","10.10.0.1","10.10.0.10","2a:89:5b:62:44:f2","TCP","406","a2:19:52:a1:10:1a","3128  >  43034 [PSH, ACK] Seq=1 Ack=304 Win=64896 Len=340 TSval=3185433831 TSecr=3865731897 [TCP segment of a reassembled PDU]"
"97","0.078960738","10.10.0.10","10.10.0.1","a2:19:52:a1:10:1a","TCP","66","2a:89:5b:62:44:f2","43034  >  3128 [ACK] Seq=304 Ack=341 Win=64128 Len=0 TSval=3865731907 TSecr=3185433831"
"98","0.079086182","10.10.0.1","10.10.0.10","2a:89:5b:62:44:f2","HTTP","253","a2:19:52:a1:10:1a","HTTP/1.1 200 OK  (text/html)"
"99","0.079182611","10.10.0.10","10.10.0.1","a2:19:52:a1:10:1a","TCP","66","2a:89:5b:62:44:f2","43034  >  3128 [ACK] Seq=304 Ack=528 Win=64128 Len=0 TSval=3865731915 TSecr=3185433831"
"100","0.079285833","10.10.0.1","10.10.0.10","2a:89:5b:62:44:f2","TCP","66","a2:19:52:a1:10:1a","3128  >  43034 [FIN, ACK] Seq=528 Ack=304 Win=64896 Len=0 TSval=3185433831 TSecr=3865731897"
"101","0.079387603","10.10.0.1","10.10.0.10","2a:89:5b:62:44:f2","TCP","66","a2:19:52:a1:10:1a","[TCP Retransmission] 3128  >  43034 [FIN, ACK] Seq=528 Ack=304 Win=64896 Len=0 TSval=3185433837 TSecr=3865731897"
"102","0.079494131","10.10.0.10","10.10.0.1","a2:19:52:a1:10:1a","TCP","78","2a:89:5b:62:44:f2","43034  >  3128 [ACK] Seq=304 Ack=529 Win=64128 Len=0 TSval=3865731915 TSecr=3185433837 SLE=528 SRE=529"
"103","0.080156174","10.10.0.10","10.10.0.1","a2:19:52:a1:10:1a","TCP","66","2a:89:5b:62:44:f2","43034  >  3128 [FIN, ACK] Seq=304 Ack=529 Win=64128 Len=0 TSval=3865731916 TSecr=3185433837"
"104","0.080248606","10.10.0.1","10.10.0.10","2a:89:5b:62:44:f2","TCP","66","a2:19:52:a1:10:1a","3128  >  43034 [ACK] Seq=529 Ack=305 Win=64896 Len=0 TSval=3185433841 TSecr=3865731916"
"105","0.090345586","12.12.0.12","10.10.0.1","b6:0c:f9:58:64:27","TCP","66","2a:89:5b:62:44:f2","80  >  60720 [FIN, ACK] Seq=388 Ack=400 Win=64768 Len=0 TSval=3927819027 TSecr=2356592166"
"106","0.090626759","10.10.0.1","12.12.0.12","2a:89:5b:62:44:f2","TCP","66","b6:0c:f9:58:64:27","60720  >  80 [ACK] Seq=400 Ack=389 Win=64128 Len=0 TSval=2356592186 TSecr=3927819027"
"107","0.001360884","5a:6a:8b:8c:c7:96","Broadcast","5a:6a:8b:8c:c7:96","ARP","60","ff:ff:ff:ff:ff:ff","Who has 8.8.8.8? Tell 8.8.8.1"
"108","0.001544175","d6:a1:12:c1:81:dd","5a:6a:8b:8c:c7:96","d6:a1:12:c1:81:dd","ARP","60","5a:6a:8b:8c:c7:96","8.8.8.8 is at d6:a1:12:c1:81:dd"
"109","0.001937057","10.10.0.10","8.8.8.8","5a:6a:8b:8c:c7:96","DNS","81","d6:a1:12:c1:81:dd","Standard query 0x76fd A proxy.tpfinal-tyr.com"
"110","0.002428391","8.8.8.8","10.10.0.10","d6:a1:12:c1:81:dd","DNS","97","5a:6a:8b:8c:c7:96","Standard query response 0x76fd A proxy.tpfinal-tyr.com A 10.10.0.1"
"111","0.003212972","10.10.0.10","8.8.8.8","5a:6a:8b:8c:c7:96","DNS","81","d6:a1:12:c1:81:dd","Standard query 0xf7fb AAAA proxy.tpfinal-tyr.com"
"112","0.003514163","8.8.8.8","10.10.0.10","d6:a1:12:c1:81:dd","DNS","126","5a:6a:8b:8c:c7:96","Standard query response 0xf7fb AAAA proxy.tpfinal-tyr.com SOA dns.tpfinal-tyr.com"
"113","0.005857376","10.10.0.1","8.8.8.8","5a:6a:8b:8c:c7:96","DNS","83","d6:a1:12:c1:81:dd","Standard query 0xe717 PTR 10.0.10.10.in-addr.arpa"
"114","0.005984673","10.10.0.1","8.8.8.8","5a:6a:8b:8c:c7:96","DNS","79","d6:a1:12:c1:81:dd","Standard query 0xa7e2 A www.tpfinal-tyr.com"
"115","0.006281365","8.8.8.8","10.10.0.1","d6:a1:12:c1:81:dd","DNS","133","5a:6a:8b:8c:c7:96","Standard query response 0xe717 No such name PTR 10.0.10.10.in-addr.arpa SOA 10.IN-ADDR.ARPA"
"116","0.020510449","8.8.8.8","10.10.0.1","d6:a1:12:c1:81:dd","DNS","95","5a:6a:8b:8c:c7:96","Standard query response 0xa7e2 A www.tpfinal-tyr.com A 12.12.0.11"
"117","0.028900490","10.10.0.10","8.8.8.8","5a:6a:8b:8c:c7:96","DNS","81","d6:a1:12:c1:81:dd","Standard query 0xbc75 A proxy.tpfinal-tyr.com"
"118","0.029270469","8.8.8.8","10.10.0.10","d6:a1:12:c1:81:dd","DNS","97","5a:6a:8b:8c:c7:96","Standard query response 0xbc75 A proxy.tpfinal-tyr.com A 10.10.0.1"
"119","0.029713093","10.10.0.10","8.8.8.8","5a:6a:8b:8c:c7:96","DNS","81","d6:a1:12:c1:81:dd","Standard query 0x5476 AAAA proxy.tpfinal-tyr.com"
"120","0.029950595","8.8.8.8","10.10.0.10","d6:a1:12:c1:81:dd","DNS","126","5a:6a:8b:8c:c7:96","Standard query response 0x5476 AAAA proxy.tpfinal-tyr.com SOA dns.tpfinal-tyr.com"
